pageid,name,coords,region,subregion,quality_score,rating_raw,rating_clean,time_lowhours,time_highhours,distance_mi,num_rappels,longest_raw,longest_rappel_ft,best_season_raw,season_spring,season_summer,season_fall,season_winter,best_season_notes,shuttle_raw,shuttle_minutes,vehicle_raw,vehicle_required,latitude,longitude,technical_class,water_rating,time_commitment,risk_rating
77605,Bushwax Canyon,"38° 0' 48.96"" N, 110° 31' 9.84"" W",Southeast Utah,The Irish,2.2,3A I (v2a2 III),3A I,,,,1,25 ft,25,Spring and Fall,TRUE,FALSE,TRUE,FALSE,,0 minutes,0,Passenger,FALSE,38.0136,-110.5194,3,A,I,
536,Munchkin,"37° 57' 19.80"" N, 110° 30' 34.92"" W",Southeast Utah,Trachyte Area,2.4,2A II (<i>v1a1 II</i>),2A II,2,5,,,0 ft,0,Any,TRUE,TRUE,TRUE,TRUE,,,,High Clearance,TRUE,37.9555,-110.5097,2,A,II,
596,Ho Hum Fork,"38° 23' 53.88"" N, 110° 23' 40.56"" W",Southeast Utah,White Roost,2.6,3B III (<i>v3a2 III</i>),3B III,4,6,,3,65 ft,65,Spring and Fall,TRUE,FALSE,TRUE,FALSE,,0 minutes,0,,FALSE,38.3983,-110.3946,3,B,III,
994,Bluejohn Canyon (West Exit),"38° 23' 32.28"" N, 110° 16' 25.32"" W",Southeast Utah,Bluejohn Complex,3,2A (<i>v1a1</i>),2A,,,,,0 ft,0,Spring;Fall,TRUE,FALSE,TRUE,FALSE,,,,,FALSE,38.3923,-110.2737,2,A,,
1012,Robbers Roost Canyon (Middle Fork),"38° 21' 39.60"" N, 110° 24' 48.96"" W",Southeast Utah,Burr Pass,3,3A <i>III</i> (<i>v3a1 III</i>),3A <i>III</i>,4,7,,1,165 ft,165,Spring;Fall;HOT in Summer,TRUE,TRUE,TRUE,FALSE,hot in summer,,,,FALSE,38.361,-110.4136,3,A,III,
497,Urban Cowboy,"37° 42' 18.00"" N, 110° 8' 1.68"" W",Southeast Utah,Cedar Mesa,3,3A IV (<i>v3a1 IV</i>),3A IV,7,9,,3,66 ft,66,Any,TRUE,TRUE,TRUE,TRUE,,,,,FALSE,37.705,-110.1338,3,A,IV,
1117,Messin' Around,"38° 3' 0.72"" N, 110° 28' 37.56"" W",Southeast Utah,West Butler,2.4,3A II (<i>v3a1 II</i>),3A II,2,3,,1,89 ft,89,Fall; Winter; Spring,TRUE,FALSE,TRUE,TRUE,,,,,FALSE,38.0502,-110.4771,3,A,II,
32772,Five for the Drive,"38° 20' 59.64"" N, 110° 34' 7.32"" W",Southeast Utah,Sand Slide Slots,2,,,,,,,,,Spring and Fall,TRUE,FALSE,TRUE,FALSE,,,,,FALSE,38.3499,-110.5687,,,,
32773,Six Appeal,"38° 21' 8.28"" N, 110° 33' 49.32"" W",Southeast Utah,Sand Slide Slots,2,,,,,,,,,Spring and Fall,TRUE,FALSE,TRUE,FALSE,,,,,FALSE,38.3523,-110.5637,,,,
567,Robbers Roost Canyon (South Fork),"38° 21' 36.00"" N, 110° 22' 53.40"" W",Southeast Utah,Burr Pass,2.3,3A III (<i>v3a1 III</i>),3A III,4,6,,5,197 ft,197,Any,TRUE,TRUE,TRUE,TRUE,,,,,FALSE,38.36,-110.3815,3,A,III,
19770,Rock Canyon (Cedar Mesa),"37° 56' 3.48"" N, 110° 19' 14.88"" W",Southeast Utah,Cedar Mesa,3.5,2A III (<i>v1a1 III</i>),2A III,,,,,0 ft,0,Apr-Oct,TRUE,TRUE,TRUE,FALSE,,,,,FALSE,37.9343,-110.3208,2,A,III,
25357,Trachyte Creek,"37° 57' 12.96"" N, 110° 33' 37.08"" W",Southeast Utah,Trachyte Area,3.5,1A <i>I</i> (<i>v1a1 I</i>),1A <i>I</i>,1,,,,0 ft,0,Any,TRUE,TRUE,TRUE,TRUE,,,,,FALSE,37.9536,-110.5603,1,A,I,
1168,Water Canyon (disambiguation),"38° 26' 24.00"" N, 110° 9' 42.84"" W",Southeast Utah,Hans Flat Road,3.5,3A III (<i>v3a1 III</i>),3A III,5,7,,2,85 ft,85,"Mar-Nov, Hot in Summer",TRUE,TRUE,TRUE,FALSE,hot in summer,0 minutes,0,4WD - Very High Clearance,TRUE,38.44,-110.1619,3,A,III,
77813,Woodchuck Canyon,"37° 52' 32.88"" N, 110° 32' 55.32"" W",Southeast Utah,Trachyte Area,2.3,3B (<i>v3a2</i>),3B,,,,1,49.213 ft,49,Spring and Fall,TRUE,FALSE,TRUE,FALSE,,,,,FALSE,37.8758,-110.5487,3,B,,
51682,Butler Canyon,"38° 4' 9.84"" N, 110° 26' 16.08"" W",Southeast Utah,West Butler,3,3A III (<i>v3a1 III</i>),3A III,,,6,2,80 ft,80,Spring or Fall,TRUE,FALSE,TRUE,FALSE,,0 minutes,0,Passenger,FALSE,38.0694,-110.4378,3,A,III,
52148,BushWhack Boogie,"37° 56' 54.60"" N, 110° 22' 36.12"" W",Southeast Utah,Cedar Mesa,4,3B III PG (<i>v4a2 III</i>),3B III PG,4,7,2.6,5,50 ft,50,"Winter, Spring or Fall",TRUE,FALSE,TRUE,TRUE,,0.5 minutes,0.5,4WD - High Clearance,TRUE,37.9485,-110.3767,3,B,III,PG
719,Fortknocker Canyon,"37° 47' 54.60"" N, 110° 12' 37.80"" W",Southeast Utah,Cedar Mesa,4,2 (<i>v1</i>),2,,,,,0 ft,0,Apr-Oct,TRUE,TRUE,TRUE,FALSE,,,,,FALSE,37.7985,-110.2105,2,,,
1128,Slickhorn Canyon,,Southeast Utah,Cedar Mesa,4,2A III (<i>v1a1 III</i>),2A III,,,,,0 ft,0,Apr-Oct,TRUE,TRUE,TRUE,FALSE,,,,,FALSE,,,2,A,III,
25358,Trachyte Point Canyon,"37° 55' 53.40"" N, 110° 30' 55.08"" W",Southeast Utah,Trachyte Area,4,2A (<i>v1a1</i>),2A,,,,,0 ft,0,Spring and Fall,TRUE,FALSE,TRUE,FALSE,,,,,FALSE,37.9315,-110.5153,2,A,,
518,Black Table Canyon,"37° 54' 40.32"" N, 110° 35' 21.48"" W",Southeast Utah,Trachyte Area,1.3,3A I (<i>v3a1 I</i>),3A I,1,2,,1,40 ft,40,Any;HOT in Summer,TRUE,TRUE,TRUE,TRUE,hot in summer,0 minutes,0,Passenger,FALSE,37.9112,-110.5893,3,A,I,
992,Bluejohn Canyon (Little East Fork),"38° 23' 19.68"" N, 110° 15' 22.68"" W",Southeast Utah,Bluejohn Complex,2.3,,,,,,,,,Spring;Fall,TRUE,FALSE,TRUE,FALSE,,,,,FALSE,38.3888,-110.2563,,,,
555,Buck Canyon (West Fork),"38° 23' 40.56"" N, 110° 32' 46.68"" W",Southeast Utah,White Roost,2.3,3A III (<i>v2a1 III</i>),3A III,4,6,,1,27 ft,27,Fall;Winter;Spring;HOT in Summer,TRUE,TRUE,TRUE,TRUE,hot in summer,,,,FALSE,38.3946,-110.5463,3,A,III,
524,Garden Balcony,"38° 13' 32.52"" N, 110° 29' 58.20"" W",Southeast Utah,Burr Point,2.3,3A II PG (<i>v4a1 II</i>),3A II PG,2,4,,1,89 ft,89,Spring;Fall,TRUE,FALSE,TRUE,FALSE,,,,Passenger,FALSE,38.2257,-110.4995,3,A,II,PG
75654,Pasture Canyon (Little Fork),"38° 22' 44.40"" N, 110° 30' 21.24"" W",Southeast Utah,White Roost,2.3,3A II (<i>v2a1 II</i>),3A II,,,,1,26.247 ft,26,Spring and Fall,TRUE,FALSE,TRUE,FALSE,,0 minutes,0,High Clearance,TRUE,38.379,-110.5059,3,A,II,
1015,Sphinx Canyon,"38° 21' 7.20"" N, 110° 26' 54.60"" W",Southeast Utah,Burr Pass,2,4A III R (<i>v5a1 III</i>),4A III R,5,6,9,,180 ft,180,Winter;Spring;Fall,TRUE,FALSE,TRUE,TRUE,,1 minutes,1,Passenger,FALSE,38.352,-110.4485,4,A,III,R
87819,West Fork of Pasture Canyon,"38° 24' 7.56"" N, 110° 29' 35.88"" W",Southeast Utah,White Roost,2,2B III (<i>v1a2 III</i>),2B III,,,,,0 ft,0,Spring and Fall,TRUE,FALSE,TRUE,FALSE,,0.5 minutes,0.5,4WD - High Clearance,TRUE,38.4021,-110.4933,2,B,III,
84729,Bird Shit Alley,"38° 21' 8.28"" N, 110° 24' 43.92"" W",Southeast Utah,Burr Pass,0,3A III R (<i>v5a1 III</i>),3A III R,,,7,2,,,"Spring, Autumn",TRUE,FALSE,TRUE,FALSE,,0.5 minutes,0.5,High Clearance,TRUE,38.3523,-110.4122,3,A,III,R
19728,Hatch Canyon,"38° 3' 10.80"" N, 110° 22' 37.56"" W",Southeast Utah,North Wash,3,2A VI (<i>v1a1 VI</i>),2A VI,48,96,,,0 ft,0,Spring and Fall;DIFFICULT in Winter,TRUE,FALSE,TRUE,TRUE,,,,4WD - High Clearance,TRUE,38.053,-110.3771,2,A,VI,
